user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,true,The submitted image is sufficient to evaluate the claim on the rear_bumper.,none,dent,rear_bumper,supported,"The image shows the rear of a silver car with significant damage to the rear bumper and trunk area, including a large dent and missing bumper components. This matches the customer's claim of a dent on the back of the car, specifically in the rear bumper area.",img_1,true,medium
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,true,The submitted image is sufficient to evaluate the claim on the front_bumper.,claim_mismatch,broken_part,front_bumper,contradicted,"Image img_1 shows a white car with severe damage to the front bumper, including a broken headlight and a large broken section of the bumper. The user claimed a 'light scratch' on the front bumper, which does not match the visible severe damage.",img_1,true,medium
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,true,The submitted image is sufficient to evaluate the claim on the windshield.,none,crack,windshield,supported,"Image img_1 shows a car windshield with a large, spreading crack, consistent with the user's claim of a crack spreading from a stone hit. Image img_2 shows a car windshield with no visible damage, which does not support the claim.",img_1,true,medium
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,The submitted image is sufficient to evaluate the claim on the side_mirror.,none,broken_part,side_mirror,supported,The image shows a red car with a severely cracked side mirror. The visible damage to the side mirror matches the user's claim that the side mirror was damaged and not sitting correctly.,img_1,true,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,The submitted image is sufficient to evaluate the claim on the rear_bumper.,user_history_risk;manual_review_required,dent,rear_bumper,supported,"Image img_1 shows multiple dents on the rear bumper of a silver car. Image img_2 shows the rear of a silver car with a bumper guard, but no damage is visible. The visible damage in img_1 matches the user's claim of bumper damage from being tapped from behind.",img_1;img_2,true,medium
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,"Evidence standard not met due to: wrong_angle, wrong_object_part, damage_not_visible. The claimed part (unknown) could not be evaluated.",wrong_angle;wrong_object_part;damage_not_visible;claim_mismatch,none,unknown,not_enough_information,"The image shows the side of a black car parked on the shoulder of a road, with the sun setting in the distance. The claimed part, the headlight, is not visible in the image, and no damage is visible on the parts of the car that are shown.",none,true,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,true,The submitted image is sufficient to evaluate the claim on the door.,none,dent,door,supported,Image img_2 shows a black car with a visible dent on the door panel. This matches the user's claim of a dent along the side of their car on the door panel area.,img_2,true,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,false,The submitted image is not usable for automated review.,user_history_risk,unknown,unknown,not_enough_information,Analysis could not be completed: no valid images could be analysed,none,false,unknown
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,The submitted image is sufficient to evaluate the claim on the screen.,none,crack,screen,supported,The image shows a laptop with a severely cracked screen. This matches the user's claim that the display glass has a crack and that the screen is the issue.,img_1,true,medium
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,The submitted image is sufficient to evaluate the claim on the hinge.,none,broken_part,hinge,supported,"Image img_1 shows a laptop with a clearly broken hinge area, where the screen meets the base. This visible damage matches the user's claim of a broken hinge area and a wobbling screen, indicating a high severity issue.",img_1,true,medium
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,The submitted image is sufficient to evaluate the claim on the keyboard.,none,stain,keyboard,supported,The image shows a laptop keyboard with visible water droplets and puddles on and around the keys. This matches the user's claim of water spilled on the keyboard area and affecting the keys.,img_1,true,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,true,The submitted image is sufficient to evaluate the claim on the corner.,none,dent,corner,supported,Image img_1 shows the back of a silver Dell laptop. Image img_2 shows a close-up of a corner of a laptop with a visible dent. This matches the user's claim of a dent on one corner of the laptop.,img_2,true,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,The submitted image is sufficient to evaluate the claim on the screen.,none,crack,screen,supported,"The image shows a laptop with a severely cracked screen, displaying a spiderweb pattern originating from a central impact point. This visible damage directly matches the user's claim of a shattered screen on their laptop.",img_1,true,medium
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,true,The submitted image is sufficient to evaluate the claim on the body.,user_history_risk;claim_mismatch,scratch,body,contradicted,"The image shows a laptop with a visible scratch on the body, near the trackpad. The user claimed physical damage around the trackpad area, which matches the visible scratch. However, the scratch is on the body of the laptop, not directly on the trackpad itself, leading to a mismatch in the claimed part.",img_1,true,low
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,true,The submitted image is sufficient to evaluate the claim on the package_corner.,none,crushed_packaging,package_corner,supported,The image shows a cardboard package with one corner visibly crushed and creased. This matches the customer's claim of a crushed corner on their delivery box.,img_1,true,medium
